0.4   6.46276e-05
0.6   0.000795911
0.7   0.0017865
0.8   0.004655
0.9   0.0045097
1.0   0.00783857
1.1   0.0119455
1.2   0.0182332
1.3   0.0234297
1.4   0.0364759
1.5   0.0388959
1.6   0.0439985
1.7   0.0495178
1.8   0.0525899
2.0   0.0727479
2.1   0.0727446
2.2   0.0746971
2.3   0.0818833
2.4   0.0822524
2.5   0.0834643
2.6   0.0861379
2.7   0.0875967
2.8   0.0935616
2.9   0.0946674
3.0   0.0949955
3.2   0.0992634
3.4   0.102427
3.6   0.103202
3.8   0.111566
4.0   0.100416
4.33   0.101077
4.66   0.102038
5.0   0.0908079
5.33   0.121888
5.66   0.106124
6.0   0.0952451
6.5   0.0957001
7.0   0.111213
7.5   0.0975292
8.0   0.105445
9.0   0.0672441
10.0   0.0869417
